CustomerID|ContactName|Address|City|Region|PostalCode|Country|OrderID|OrderDate|ShippedDate|RequiredDate|ProductName|Quantity|UnitPrice|Discount|TotalSales|FinalSales
ALFKI|Maria Anders|Obere Str. 57|Berlin||12209|Germany|10643.0|1997-08-25|1997-09-02|1997-09-22|Chartreuse verte|21.0|18.0|0.25|378.0|283.5
ALFKI|Maria Anders|Obere Str. 57|Berlin||12209|Germany|10643.0|1997-08-25|1997-09-02|1997-09-22|Rössle Sauerkraut|15.0|45.6|0.25|684.0|513.0
ALFKI|Maria Anders|Obere Str. 57|Berlin||12209|Germany|10643.0|1997-08-25|1997-09-02|1997-09-22|Spegesild|2.0|12.0|0.25|24.0|18.0
ALFKI|Maria Anders|Obere Str. 57|Berlin||12209|Germany|10692.0|1997-10-03|1997-10-13|1997-10-31|Vegie-spread|20.0|43.9|0.0|878.0|878.0
ALFKI|Maria Anders|Obere Str. 57|Berlin||12209|Germany|10702.0|1997-10-13|1997-10-21|1997-11-24|Aniseed Syrup|6.0|10.0|0.0|60.0|60.0
ALFKI|Maria Anders|Obere Str. 57|Berlin||12209|Germany|10702.0|1997-10-13|1997-10-21|1997-11-24|Lakkalikööri|15.0|18.0|0.0|270.0|270.0
ALFKI|Maria Anders|Obere Str. 57|Berlin||12209|Germany|10835.0|1998-01-15|1998-01-21|1998-02-12|Original Frankfurter grüne Soße|2.0|13.0|0.20000000298023224|26.0|20.8
ALFKI|Maria Anders|Obere Str. 57|Berlin||12209|Germany|10835.0|1998-01-15|1998-01-21|1998-02-12|Raclette Courdavault|15.0|55.0|0.0|825.0|825.0
ALFKI|Maria Anders|Obere Str. 57|Berlin||12209|Germany|10952.0|1998-03-16|1998-03-24|1998-04-27|Grandma's Boysenberry Spread|16.0|25.0|0.05000000074505806|400.0|380.0
ALFKI|Maria Anders|Obere Str. 57|Berlin||12209|Germany|10952.0|1998-03-16|1998-03-24|1998-04-27|Rössle Sauerkraut|2.0|45.6|0.0|91.2|91.2
ALFKI|Maria Anders|Obere Str. 57|Berlin||12209|Germany|11011.0|1998-04-09|1998-04-13|1998-05-07|Escargots de Bourgogne|40.0|13.25|0.05000000074505806|530.0|503.5
ALFKI|Maria Anders|Obere Str. 57|Berlin||12209|Germany|11011.0|1998-04-09|1998-04-13|1998-05-07|Flotemysost|20.0|21.5|0.0|430.0|430.0
